iter	Passed	Remaining
411	3626	5175
412	3637	5170
413	3646	5161
414	3653	5150
415	3661	5140
416	3669	5129
417	3676	5119
418	3684	5108
419	3691	5097
420	3698	5086
421	3705	5075
422	3713	5065
423	3721	5055
424	3728	5044
425	3734	5032
426	3741	5021
427	3749	5010
428	3756	4999
429	3763	4988
430	3771	4979
431	3778	4968
432	3787	4959
433	3794	4948
434	3820	4962
435	3835	4961
436	3846	4956
437	3855	4947
438	3864	4938
439	3873	4929
440	3881	4919
441	3889	4910
442	3898	4901
443	3905	4890
444	3913	4880
445	3921	4870
446	3927	4858
447	3934	4847
448	3940	4835
449	3946	4823
450	3953	4812
451	3959	4800
452	3965	4788
453	3970	4775
454	3976	4763
455	3982	4750
456	3988	4739
457	3996	4728
458	4002	4717
459	4008	4705
460	4013	4692
461	4018	4680
462	4024	4667
463	4029	4654
464	4035	4642
465	4040	4630
466	4046	4618
467	4051	4605
468	4057	4593
469	4062	4581
470	4068	4569
471	4074	4558
472	4080	4546
473	4087	4535
474	4093	4523
475	4100	4513
476	4105	4501
477	4110	4489
478	4117	4478
479	4124	4467
480	4131	4457
481	4137	4446
482	4143	4434
483	4150	4424
484	4156	4413
485	4162	4402
486	4169	4391
487	4177	4382
488	4183	4371
489	4189	4360
490	4194	4348
491	4199	4336
492	4204	4323
493	4209	4311
494	4214	4299
495	4219	4287
496	4224	4275
497	4230	4264
498	4235	4252
499	4240	4240
500	4245	4228
501	4250	4217
502	4255	4204
503	4261	4194
504	4267	4182
505	4272	4171
506	4277	4159
507	4282	4147
508	4288	4137
509	4293	4125
510	4298	4113
511	4303	4102
512	4309	4090
513	4314	4079
514	4319	4068
515	4324	4056
516	4330	4045
517	4336	4035
518	4342	4024
519	4348	4014
520	4359	4007
521	4365	3997
522	4371	3987
523	4377	3976
524	4383	3965
525	4389	3955
526	4394	3944
527	4399	3933
528	4405	3922
529	4411	3912
530	4417	3901
531	4423	3891
532	4428	3880
533	4435	3870
534	4440	3859
535	4446	3849
536	4451	3838
537	4458	3828
538	4464	3818
539	4470	3808
540	4477	3798
541	4483	3788
542	4490	3779
543	4496	3768
544	4501	3758
545	4509	3749
546	4515	3739
547	4521	3729
548	4527	3719
549	4534	3710
550	4545	3703
551	4551	3693
552	4558	3684
553	4564	3674
554	4570	3664
555	4576	3654
556	4582	3644
557	4589	3635
558	4595	3625
559	4602	3615
560	4608	3605
561	4613	3595
562	4620	3586
563	4625	3575
564	4631	3565
565	4636	3555
566	4642	3545
567	4648	3535
568	4654	3525
569	4660	3515
570	4667	3506
571	4672	3496
572	4679	3487
573	4686	3478
574	4693	3469
575	4699	3459
576	4705	3449
577	4710	3438
578	4716	3429
579	4727	3423
580	4734	3414
581	4741	3405
582	4746	3395
583	4752	3385
584	4758	3375
585	4764	3366
586	4770	3356
587	4778	3347
588	4784	3338
589	4791	3329
590	4798	3320
591	4803	3310
592	4810	3301
593	4816	3292
594	4823	3283
595	4831	3275
596	4839	3267
597	4846	3258
598	4854	3249
599	4860	3240
600	4866	3231
601	4874	3222
602	4880	3213
603	4888	3205
604	4893	3195
605	4899	3185
606	4904	3175
607	4911	3166
608	4918	3157
609	4923	3147
610	4928	3137
611	4934	3128
612	4940	3118
613	4946	3109
614	4952	3100
615	4958	3090
616	4963	3081
617	4969	3071
618	4974	3061
619	4979	3052
620	4985	3042
621	4991	3033
622	4997	3024
623	5002	3014
624	5008	3004
625	5013	2995
626	5018	2985
627	5023	2975
628	5029	2966
629	5034	2957
630	5040	2947
631	5045	2938
632	5050	2928
633	5056	2918
634	5060	2909
635	5066	2899
636	5071	2889
637	5076	2880
638	5081	2870
639	5087	2861
640	5094	2853
641	5100	2844
642	5105	2834
643	5110	2825
644	5116	2816
645	5121	2806
646	5127	2797
647	5133	2788
648	5138	2779
649	5144	2769
650	5149	2760
651	5154	2751
652	5159	2741
653	5164	2732
654	5169	2722
655	5174	2713
656	5179	2704
657	5185	2695
658	5190	2685
659	5195	2676
660	5201	2667
661	5207	2658
662	5213	2649
663	5219	2641
664	5227	2633
665	5240	2628
666	5249	2620
667	5257	2612
668	5266	2605
669	5278	2599
670	5287	2592
671	5295	2584
672	5304	2577
673	5311	2569
674	5319	2561
675	5328	2553
676	5335	2545
677	5342	2537
678	5349	2528
679	5355	2520
680	5361	2511
681	5368	2503
682	5374	2494
683	5382	2486
684	5389	2478
685	5396	2470
686	5404	2462
687	5411	2453
688	5418	2445
689	5424	2437
690	5431	2428
691	5438	2420
692	5444	2412
693	5451	2403
694	5458	2395
695	5466	2387
696	5473	2379
697	5489	2375
698	5501	2369
699	5509	2361
700	5516	2353
701	5524	2345
702	5534	2338
703	5542	2330
704	5550	2322
705	5557	2314
706	5565	2306
707	5572	2298
708	5580	2290
709	5587	2282
710	5595	2274
711	5605	2267
712	5611	2258
713	5618	2250
714	5626	2242
715	5633	2234
716	5640	2226
717	5648	2218
718	5656	2210
719	5663	2202
720	5670	2194
721	5678	2186
722	5686	2178
723	5693	2170
724	5701	2162
725	5709	2154
726	5717	2146
727	5724	2138
728	5732	2130
729	5739	2122
730	5747	2115
731	5754	2106
732	5761	2098
733	5768	2090
734	5774	2081
735	5780	2073
736	5787	2065
737	5792	2056
738	5799	2048
739	5805	2039
740	5811	2031
741	5817	2022
742	5823	2014
743	5833	2007
744	5840	1999
745	5859	1995
746	5869	1987
747	5877	1980
748	5883	1971
749	5891	1963
750	5897	1955
751	5904	1947
752	5911	1939
753	5918	1930
754	5924	1922
755	5931	1914
756	5938	1906
757	5945	1898
758	5952	1889
759	5958	1881
760	5965	1873
761	5972	1865
762	5979	1857
763	5988	1849
764	5995	1841
765	6004	1834
766	6010	1826
767	6020	1818
768	6028	1810
769	6034	1802
770	6041	1794
771	6049	1786
772	6056	1778
773	6063	1770
774	6070	1762
775	6078	1754
776	6085	1746
777	6092	1738
778	6099	1730
779	6105	1722
780	6113	1714
781	6119	1706
782	6127	1698
783	6134	1690
784	6142	1682
785	6149	1674
786	6156	1666
787	6164	1658
788	6172	1650
789	6180	1642
790	6190	1635
791	6198	1627
792	6208	1620
793	6215	1612
794	6224	1605
795	6231	1597
796	6239	1589
797	6247	1581
798	6254	1573
799	6262	1565
800	6270	1557
801	6279	1550
802	6287	1542
803	6294	1534
804	6302	1526
805	6309	1518
806	6318	1511
807	6325	1503
808	6334	1495
809	6342	1487
810	6362	1482
811	6372	1475
812	6381	1467
813	6388	1459
814	6397	1452
815	6404	1444
816	6414	1436
817	6420	1428
818	6430	1421
819	6436	1412
820	6445	1405
821	6452	1397
822	6460	1389
823	6466	1381
824	6473	1373
825	6480	1365
826	6486	1356
827	6493	1348
828	6501	1341
829	6508	1333
830	6514	1324
831	6523	1317
832	6530	1309
833	6540	1301
834	6546	1293
835	6559	1286
836	6570	1279
837	6576	1271
838	6587	1264
839	6594	1256
840	6604	1248
841	6613	1240
842	6619	1232
843	6628	1225
844	6634	1217
845	6644	1209
846	6651	1201
847	6660	1193
848	6667	1185
849	6675	1177
850	6682	1170
851	6689	1161
852	6696	1153
853	6704	1146
854	6711	1138
855	6718	1130
856	6726	1122
857	6733	1114
858	6742	1106
859	6750	1098
860	6757	1090
861	6764	1082
862	6771	1074
863	6778	1066
864	6784	1058
865	6792	1050
866	6799	1042
867	6806	1035
868	6815	1027
869	6822	1019
870	6829	1011
871	6836	1003
872	6844	995
873	6853	988
874	6859	979
875	6868	972
876	6874	964
877	6885	956
878	6891	948
879	6900	940
880	6907	933
881	6916	925
882	6923	917
883	6932	909
884	6942	902
885	6948	894
886	6957	886
887	6963	878
888	6971	870
889	6978	862
890	6985	854
891	6993	846
892	7001	838
893	7008	830
894	7015	823
895	7022	815
896	7030	807
897	7038	799
898	7044	791
899	7054	783
900	7063	776
901	7071	768
902	7080	760
903	7087	752
904	7097	745
905	7105	737
906	7115	729
907	7122	721
908	7131	713
909	7139	706
910	7147	698
911	7154	690
912	7161	682
913	7169	674
914	7176	666
915	7184	658
